order_item_id,order_item_order_id,order_item_product_id,order_item_quantity,order_item_subtotal,order_item_product_price
106001,42459,822,3,143.97000122070312,47.9900016784668
106002,42460,191,4,399.9599914550781,99.98999786376953
106003,42460,1014,2,99.95999908447266,49.97999954223633
106004,42460,191,1,99.98999786376953,99.98999786376953
106005,42460,191,1,99.98999786376953,99.98999786376953
106006,42462,957,1,299.9800109863281,299.9800109863281
106007,42463,191,1,99.98999786376953,99.98999786376953
106008,42464,924,5,79.94999694824219,15.989999771118164
106009,42464,957,1,299.9800109863281,299.9800109863281
106010,42465,627,4,159.9600067138672,39.9900016784668
106011,42465,1073,1,199.99000549316406,199.99000549316406
106012,42466,1014,3,149.94000244140625,49.97999954223633
106013,42470,403,1,129.99000549316406,129.99000549316406
106014,42470,403,1,129.99000549316406,129.99000549316406
106015,42470,1014,2,99.95999908447266,49.97999954223633
106016,42471,627,5,199.9499969482422,39.9900016784668
106017,42471,191,5,499.95001220703125,99.98999786376953
106018,42471,957,1,299.9800109863281,299.9800109863281
106019,42471,627,2,79.9800033569336,39.9900016784668
106020,42471,191,3,299.9700012207031,99.98999786376953
106021,42472,1014,2,99.95999908447266,49.97999954223633
106022,42472,1004,1,399.9800109863281,399.9800109863281
106023,42473,1014,1,49.97999954223633,49.97999954223633
106024,42473,403,1,129.99000549316406,129.99000549316406
106025,42473,1073,1,199.99000549316406,199.99000549316406
106026,42473,924,3,47.970001220703125,15.989999771118164
106027,42474,403,1,129.99000549316406,129.99000549316406
106028,42474,502,4,200.0,50.0
106029,42474,957,1,299.9800109863281,299.9800109863281
106030,42475,502,5,250.0,50.0
106031,42476,191,2,199.97999572753906,99.98999786376953
106032,42477,957,1,299.9800109863281,299.9800109863281
106033,42477,365,4,239.9600067138672,59.9900016784668
106034,42477,502,5,250.0,50.0
106035,42477,1014,1,49.97999954223633,49.97999954223633
106036,42477,977,5,149.9499969482422,29.989999771118164
106037,42478,365,4,239.9600067138672,59.9900016784668
106038,42479,502,5,250.0,50.0
106039,42479,627,1,39.9900016784668,39.9900016784668
106040,42479,957,1,299.9800109863281,299.9800109863281
106041,42479,403,1,129.99000549316406,129.99000549316406
106042,42479,1004,1,399.9800109863281,399.9800109863281
106043,42480,403,1,129.99000549316406,129.99000549316406
106044,42480,502,4,200.0,50.0
106045,42480,957,1,299.9800109863281,299.9800109863281
106046,42480,1073,1,199.99000549316406,199.99000549316406
106047,42480,403,1,129.99000549316406,129.99000549316406
106048,42482,1014,4,199.9199981689453,49.97999954223633
106049,42482,502,2,100.0,50.0
106050,42482,365,1,59.9900016784668,59.9900016784668
106051,42482,502,1,50.0,50.0
106052,42483,957,1,299.9800109863281,299.9800109863281
106053,42484,957,1,299.9800109863281,299.9800109863281
106054,42484,1073,1,199.99000549316406,199.99000549316406
106055,42484,906,5,124.94999694824219,24.989999771118164
106056,42485,502,4,200.0,50.0
106057,42485,1004,1,399.9800109863281,399.9800109863281
106058,42487,403,1,129.99000549316406,129.99000549316406
106059,42487,1073,1,199.99000549316406,199.99000549316406
106060,42487,502,2,100.0,50.0
106061,42487,1014,3,149.94000244140625,49.97999954223633
106062,42489,1014,2,99.95999908447266,49.97999954223633
106063,42489,365,4,239.9600067138672,59.9900016784668
106064,42490,1004,1,399.9800109863281,399.9800109863281
106065,42490,957,1,299.9800109863281,299.9800109863281
106066,42490,1004,1,399.9800109863281,399.9800109863281
106067,42490,1004,1,399.9800109863281,399.9800109863281
106068,42491,957,1,299.9800109863281,299.9800109863281
106069,42491,627,5,199.9499969482422,39.9900016784668
106070,42491,1014,2,99.95999908447266,49.97999954223633
106071,42491,1004,1,399.9800109863281,399.9800109863281
106072,42491,365,2,119.9800033569336,59.9900016784668
106073,42492,917,3,65.97000122070312,21.989999771118164
106074,42493,1073,1,199.99000549316406,199.99000549316406
106075,42493,502,4,200.0,50.0
106076,42493,1073,1,199.99000549316406,199.99000549316406
106077,42493,502,5,250.0,50.0
106078,42493,1004,1,399.9800109863281,399.9800109863281
106079,42494,403,1,129.99000549316406,129.99000549316406
106080,42494,1073,1,199.99000549316406,199.99000549316406
106081,42494,957,1,299.9800109863281,299.9800109863281
106082,42494,1014,4,199.9199981689453,49.97999954223633
106083,42494,502,3,150.0,50.0
106084,42495,1014,2,99.95999908447266,49.97999954223633
