order_id,order_date,order_customer_id,order_status
5317,2013-08-26 00:00:00.0,6224,COMPLETE
5318,2013-08-26 00:00:00.0,11354,COMPLETE
5322,2013-08-26 00:00:00.0,4933,PENDING
5325,2013-08-26 00:00:00.0,5852,SUSPECTED_FRAUD
5326,2013-08-26 00:00:00.0,4134,PENDING
5333,2013-08-26 00:00:00.0,4502,COMPLETE
5335,2013-08-26 00:00:00.0,5547,ON_HOLD
5339,2013-08-26 00:00:00.0,10201,COMPLETE
5342,2013-08-26 00:00:00.0,3471,COMPLETE
5345,2013-08-26 00:00:00.0,472,CLOSED
5347,2013-08-26 00:00:00.0,6256,PENDING_PAYMENT
5348,2013-08-26 00:00:00.0,10966,PROCESSING
5349,2013-08-26 00:00:00.0,9449,CLOSED
5351,2013-08-26 00:00:00.0,3565,COMPLETE
5353,2013-08-26 00:00:00.0,8926,PENDING_PAYMENT
5354,2013-08-26 00:00:00.0,7616,PENDING_PAYMENT
5355,2013-08-26 00:00:00.0,798,COMPLETE
5358,2013-08-26 00:00:00.0,9296,PROCESSING
5360,2013-08-26 00:00:00.0,6285,PROCESSING
5370,2013-08-26 00:00:00.0,9468,CLOSED
5373,2013-08-26 00:00:00.0,2413,COMPLETE
5374,2013-08-26 00:00:00.0,4014,PROCESSING
5375,2013-08-26 00:00:00.0,9668,PENDING
5380,2013-08-26 00:00:00.0,8174,COMPLETE
5382,2013-08-26 00:00:00.0,6111,PENDING_PAYMENT
5385,2013-08-26 00:00:00.0,2093,PENDING
5386,2013-08-26 00:00:00.0,6478,PENDING_PAYMENT
5390,2013-08-26 00:00:00.0,12385,PAYMENT_REVIEW
5395,2013-08-26 00:00:00.0,532,PENDING
5398,2013-08-26 00:00:00.0,6964,PROCESSING
5401,2013-08-26 00:00:00.0,11945,PENDING_PAYMENT
5408,2013-08-26 00:00:00.0,11084,PROCESSING
5409,2013-08-26 00:00:00.0,4247,PENDING_PAYMENT
5410,2013-08-26 00:00:00.0,12086,PENDING_PAYMENT
5412,2013-08-26 00:00:00.0,1382,COMPLETE
5415,2013-08-26 00:00:00.0,12371,PENDING_PAYMENT
5423,2013-08-26 00:00:00.0,3285,PENDING_PAYMENT
5427,2013-08-26 00:00:00.0,8552,CLOSED
5428,2013-08-26 00:00:00.0,6143,PENDING_PAYMENT
5430,2013-08-26 00:00:00.0,10762,COMPLETE
5442,2013-08-27 00:00:00.0,2562,COMPLETE
5444,2013-08-27 00:00:00.0,11814,PROCESSING
5448,2013-08-27 00:00:00.0,6357,COMPLETE
5451,2013-08-27 00:00:00.0,1108,CANCELED
5452,2013-08-27 00:00:00.0,3247,ON_HOLD
5453,2013-08-27 00:00:00.0,936,PENDING_PAYMENT
5459,2013-08-27 00:00:00.0,8745,PENDING_PAYMENT
5461,2013-08-27 00:00:00.0,556,PROCESSING
5465,2013-08-27 00:00:00.0,5533,PROCESSING
5468,2013-08-27 00:00:00.0,9391,PENDING_PAYMENT
5469,2013-08-27 00:00:00.0,3296,CLOSED
5472,2013-08-27 00:00:00.0,3999,PROCESSING
5473,2013-08-27 00:00:00.0,1159,ON_HOLD
5475,2013-08-27 00:00:00.0,4199,COMPLETE
5477,2013-08-27 00:00:00.0,182,PENDING_PAYMENT
5480,2013-08-27 00:00:00.0,5526,CLOSED
5481,2013-08-27 00:00:00.0,2842,ON_HOLD
5484,2013-08-27 00:00:00.0,12123,PENDING
5487,2013-08-27 00:00:00.0,8666,COMPLETE
5495,2013-08-27 00:00:00.0,4456,PENDING_PAYMENT
5500,2013-08-27 00:00:00.0,11380,COMPLETE
5501,2013-08-27 00:00:00.0,6014,COMPLETE
5513,2013-08-27 00:00:00.0,9825,PENDING_PAYMENT
5515,2013-08-27 00:00:00.0,2918,CLOSED
5519,2013-08-27 00:00:00.0,10154,SUSPECTED_FRAUD
5523,2013-08-27 00:00:00.0,767,PENDING
5525,2013-08-27 00:00:00.0,9875,SUSPECTED_FRAUD
5528,2013-08-27 00:00:00.0,6071,PROCESSING
5533,2013-08-27 00:00:00.0,5315,CANCELED
5541,2013-08-27 00:00:00.0,10875,PENDING_PAYMENT
5542,2013-08-27 00:00:00.0,4018,CLOSED
5548,2013-08-27 00:00:00.0,1747,PENDING_PAYMENT
5551,2013-08-27 00:00:00.0,4265,PROCESSING
5558,2013-08-27 00:00:00.0,3323,PROCESSING
5563,2013-08-27 00:00:00.0,185,ON_HOLD
5564,2013-08-27 00:00:00.0,8987,ON_HOLD
5566,2013-08-27 00:00:00.0,7544,COMPLETE
5574,2013-08-28 00:00:00.0,2609,PENDING_PAYMENT
5575,2013-08-28 00:00:00.0,7064,PROCESSING
5578,2013-08-28 00:00:00.0,5218,CLOSED
5579,2013-08-28 00:00:00.0,7196,SUSPECTED_FRAUD
5583,2013-08-28 00:00:00.0,4195,PENDING_PAYMENT
5585,2013-08-28 00:00:00.0,11588,COMPLETE
5589,2013-08-28 00:00:00.0,10168,CLOSED
5593,2013-08-28 00:00:00.0,11667,COMPLETE
5594,2013-08-28 00:00:00.0,5037,COMPLETE
5595,2013-08-28 00:00:00.0,12140,PENDING_PAYMENT
5598,2013-08-28 00:00:00.0,8963,PENDING_PAYMENT
5599,2013-08-28 00:00:00.0,1607,CLOSED
5604,2013-08-28 00:00:00.0,8509,COMPLETE
5605,2013-08-28 00:00:00.0,1385,PROCESSING
5606,2013-08-28 00:00:00.0,1058,COMPLETE
5607,2013-08-28 00:00:00.0,5388,ON_HOLD
5608,2013-08-28 00:00:00.0,1017,COMPLETE
5609,2013-08-28 00:00:00.0,9949,ON_HOLD
5613,2013-08-28 00:00:00.0,7052,CANCELED
5616,2013-08-28 00:00:00.0,3077,PENDING_PAYMENT
5619,2013-08-28 00:00:00.0,8591,CLOSED
5624,2013-08-28 00:00:00.0,8958,PENDING_PAYMENT
5633,2013-08-28 00:00:00.0,9796,PROCESSING
5636,2013-08-28 00:00:00.0,2820,PROCESSING
5644,2013-08-28 00:00:00.0,10043,PENDING
5645,2013-08-28 00:00:00.0,9751,COMPLETE
5648,2013-08-28 00:00:00.0,3323,PENDING_PAYMENT
5651,2013-08-29 00:00:00.0,10012,PENDING_PAYMENT
5652,2013-08-29 00:00:00.0,7748,COMPLETE
5657,2013-08-29 00:00:00.0,9045,CLOSED
5662,2013-08-29 00:00:00.0,11996,PENDING
5663,2013-08-29 00:00:00.0,9011,SUSPECTED_FRAUD
5665,2013-08-29 00:00:00.0,11170,COMPLETE
5667,2013-08-29 00:00:00.0,12326,COMPLETE
5669,2013-08-29 00:00:00.0,3882,COMPLETE
5670,2013-08-29 00:00:00.0,2683,PROCESSING
5672,2013-08-29 00:00:00.0,11552,PROCESSING
5673,2013-08-29 00:00:00.0,643,SUSPECTED_FRAUD
5675,2013-08-29 00:00:00.0,1100,COMPLETE
5679,2013-08-29 00:00:00.0,11861,COMPLETE
5681,2013-08-29 00:00:00.0,8111,COMPLETE
5687,2013-08-29 00:00:00.0,3958,CLOSED
5688,2013-08-29 00:00:00.0,1715,COMPLETE
5689,2013-08-29 00:00:00.0,10355,PENDING
5702,2013-08-29 00:00:00.0,10610,COMPLETE
5706,2013-08-29 00:00:00.0,2669,CLOSED
5708,2013-08-29 00:00:00.0,11958,PENDING
5709,2013-08-29 00:00:00.0,9047,COMPLETE
5711,2013-08-29 00:00:00.0,8543,COMPLETE
5715,2013-08-29 00:00:00.0,9814,COMPLETE
5721,2013-08-29 00:00:00.0,9235,CLOSED
5722,2013-08-29 00:00:00.0,7870,PENDING
5725,2013-08-29 00:00:00.0,7099,COMPLETE
5730,2013-08-29 00:00:00.0,6829,COMPLETE
5732,2013-08-29 00:00:00.0,9683,CLOSED
5737,2013-08-29 00:00:00.0,8374,COMPLETE
5739,2013-08-29 00:00:00.0,5904,CLOSED
5743,2013-08-29 00:00:00.0,11717,COMPLETE
