order_id,order_date,order_customer_id,order_status
11807,2013-10-05 00:00:00.0,9416,PENDING
11816,2013-10-05 00:00:00.0,10265,PROCESSING
11822,2013-10-05 00:00:00.0,3246,PENDING
11828,2013-10-05 00:00:00.0,11009,PROCESSING
11830,2013-10-05 00:00:00.0,9652,COMPLETE
11831,2013-10-05 00:00:00.0,413,PROCESSING
11833,2013-10-05 00:00:00.0,5461,PENDING
11834,2013-10-05 00:00:00.0,6647,ON_HOLD
11842,2013-10-05 00:00:00.0,447,COMPLETE
11844,2013-10-05 00:00:00.0,4411,COMPLETE
11845,2013-10-05 00:00:00.0,11753,PENDING_PAYMENT
11852,2013-10-05 00:00:00.0,12192,SUSPECTED_FRAUD
11855,2013-10-05 00:00:00.0,7489,COMPLETE
11858,2013-10-05 00:00:00.0,9699,COMPLETE
11865,2013-10-05 00:00:00.0,5418,PENDING
11869,2013-10-05 00:00:00.0,11515,CLOSED
11870,2013-10-05 00:00:00.0,1742,PENDING_PAYMENT
11873,2013-10-05 00:00:00.0,2662,COMPLETE
11876,2013-10-05 00:00:00.0,9009,COMPLETE
11878,2013-10-05 00:00:00.0,795,COMPLETE
11879,2013-10-05 00:00:00.0,1555,PENDING
11883,2013-10-05 00:00:00.0,12232,COMPLETE
11893,2013-10-06 00:00:00.0,3542,PENDING_PAYMENT
11895,2013-10-06 00:00:00.0,3980,COMPLETE
11898,2013-10-06 00:00:00.0,3519,COMPLETE
11900,2013-10-06 00:00:00.0,5801,PENDING_PAYMENT
11901,2013-10-06 00:00:00.0,6303,PENDING_PAYMENT
11903,2013-10-06 00:00:00.0,7753,CLOSED
11904,2013-10-06 00:00:00.0,9300,PENDING_PAYMENT
11911,2013-10-06 00:00:00.0,949,PENDING
11912,2013-10-06 00:00:00.0,10931,CLOSED
11913,2013-10-06 00:00:00.0,2058,ON_HOLD
11915,2013-10-06 00:00:00.0,6428,PROCESSING
11920,2013-10-06 00:00:00.0,6393,PENDING_PAYMENT
11924,2013-10-06 00:00:00.0,7375,PENDING
11928,2013-10-06 00:00:00.0,10305,COMPLETE
11931,2013-10-06 00:00:00.0,8585,ON_HOLD
11932,2013-10-06 00:00:00.0,10071,CLOSED
11935,2013-10-06 00:00:00.0,3658,PENDING_PAYMENT
11936,2013-10-06 00:00:00.0,724,PENDING_PAYMENT
11938,2013-10-06 00:00:00.0,5963,ON_HOLD
11946,2013-10-06 00:00:00.0,12304,COMPLETE
11947,2013-10-06 00:00:00.0,8750,COMPLETE
11953,2013-10-06 00:00:00.0,11461,PENDING
11955,2013-10-06 00:00:00.0,744,COMPLETE
11957,2013-10-06 00:00:00.0,6514,COMPLETE
11961,2013-10-06 00:00:00.0,10232,COMPLETE
11962,2013-10-06 00:00:00.0,1011,SUSPECTED_FRAUD
11963,2013-10-06 00:00:00.0,2064,PENDING_PAYMENT
11964,2013-10-06 00:00:00.0,5357,PROCESSING
11965,2013-10-06 00:00:00.0,643,PENDING
11968,2013-10-06 00:00:00.0,2610,COMPLETE
11972,2013-10-06 00:00:00.0,1742,COMPLETE
11973,2013-10-06 00:00:00.0,7319,COMPLETE
11976,2013-10-06 00:00:00.0,7556,PROCESSING
11977,2013-10-06 00:00:00.0,3569,SUSPECTED_FRAUD
11978,2013-10-06 00:00:00.0,2477,PROCESSING
11980,2013-10-06 00:00:00.0,5459,ON_HOLD
11984,2013-10-06 00:00:00.0,6966,ON_HOLD
11986,2013-10-06 00:00:00.0,2433,COMPLETE
11987,2013-10-06 00:00:00.0,2845,PENDING_PAYMENT
11990,2013-10-06 00:00:00.0,3031,PROCESSING
11999,2013-10-06 00:00:00.0,6135,PENDING_PAYMENT
12000,2013-10-06 00:00:00.0,1152,COMPLETE
12003,2013-10-06 00:00:00.0,6477,CLOSED
12004,2013-10-06 00:00:00.0,1474,PENDING_PAYMENT
12007,2013-10-06 00:00:00.0,9748,PENDING_PAYMENT
12010,2013-10-06 00:00:00.0,1877,COMPLETE
12012,2013-10-06 00:00:00.0,9264,COMPLETE
12022,2013-10-06 00:00:00.0,9822,PENDING
12023,2013-10-06 00:00:00.0,6064,ON_HOLD
12026,2013-10-06 00:00:00.0,3492,PENDING_PAYMENT
